title,form_type,accepted_at,accession,cik,company_name,ticker,primary_document,archive_base_url,source_url,amendment_flag,xml_url,sha256,status,parsed_records
4 - Lemerond Nicole (0001941712) (Reporting),4,2026-06-25 20:35:06,0001683168-26-005110,0001941712,4 - Lemerond Nicole (0001941712) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1941712/000168316826005110,https://www.sec.gov/Archives/edgar/data/1941712/000168316826005110/0001683168-26-005110-index.htm,False,https://www.sec.gov/Archives/edgar/data/1941712/000168316826005110/ownership.xml,ea80704b4d78e713569946346cc2e14a4386c60910bb769edb5197976cfc9d37,parsed,0
4 - BEAVER CAROLYN (0001335581) (Reporting),4,2026-06-25 20:35:05,0001683168-26-005109,0001335581,4 - BEAVER CAROLYN (0001335581) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1335581/000168316826005109,https://www.sec.gov/Archives/edgar/data/1335581/000168316826005109/0001683168-26-005109-index.htm,False,https://www.sec.gov/Archives/edgar/data/1335581/000168316826005109/ownership.xml,a298d0881e2c3b69e537ca375f60749bad1e7dc50b589213b8a99398d73a82ed,parsed,0
4 - Ranade Mandar (0001795887) (Reporting),4,2026-06-25 20:34:48,0001795887-26-000002,0001795887,4 - Ranade Mandar (0001795887) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1795887/000179588726000002,https://www.sec.gov/Archives/edgar/data/1795887/000179588726000002/0001795887-26-000002-index.htm,False,https://www.sec.gov/Archives/edgar/data/1795887/000179588726000002/wk-form4_1782419685.xml,73193b2bf42b3463af98a3919e3fd34c5fb8a3ca3fcc1159dc07485c1ce3c8f0,parsed,0
4 - Hopman Mark (0002048497) (Reporting),4,2026-06-25 20:34:10,0002048497-26-000009,0002048497,4 - Hopman Mark (0002048497) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2048497/000204849726000009,https://www.sec.gov/Archives/edgar/data/2048497/000204849726000009/0002048497-26-000009-index.htm,False,https://www.sec.gov/Archives/edgar/data/2048497/000204849726000009/form4-06252026_080606.xml,9749e399a249eaaf1f90d50ac58cbcb4458285eea5c1517c5c900f57da957976,parsed,0
4 - Noble Ryan S. (0001747001) (Reporting),4,2026-06-25 20:33:22,0001747001-26-000002,0001747001,4 - Noble Ryan S. (0001747001) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1747001/000174700126000002,https://www.sec.gov/Archives/edgar/data/1747001/000174700126000002/0001747001-26-000002-index.htm,False,https://www.sec.gov/Archives/edgar/data/1747001/000174700126000002/wk-form4_1782419599.xml,626cd55b62ac83d34017fc5e38f5a174e1758148a06cdd845657b911aec43091,parsed,0
4 - Luebke Taylor Edward (0002049606) (Reporting),4,2026-06-25 20:33:13,0002049606-26-000003,0002049606,4 - Luebke Taylor Edward (0002049606) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2049606/000204960626000003,https://www.sec.gov/Archives/edgar/data/2049606/000204960626000003/0002049606-26-000003-index.htm,False,https://www.sec.gov/Archives/edgar/data/2049606/000204960626000003/wk-form4_1782419590.xml,9367225cce9afccd934f68bf6023287929a46a7c1f03a8b0fad9355f140e0e31,parsed,0
4 - Jones Christy (0002048467) (Reporting),4,2026-06-25 20:32:30,0002048467-26-000005,0002048467,4 - Jones Christy (0002048467) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2048467/000204846726000005,https://www.sec.gov/Archives/edgar/data/2048467/000204846726000005/0002048467-26-000005-index.htm,False,https://www.sec.gov/Archives/edgar/data/2048467/000204846726000005/form4-06252026_080626.xml,f17c86d6e557b5607153cae1657dc521bb93750f5fc26071caef208eae70f7aa,parsed,0
4 - Marshall Tucker H (0001810809) (Reporting),4,2026-06-25 20:32:20,0000091419-26-000068,0001810809,4 - Marshall Tucker H (0001810809) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1810809/000009141926000068,https://www.sec.gov/Archives/edgar/data/1810809/000009141926000068/0000091419-26-000068-index.htm,False,https://www.sec.gov/Archives/edgar/data/1810809/000009141926000068/wk-form4_1782419537.xml,0bf7f865fef5d87b6ac74d70f8a61360dd9de5ee7d43300022ecdb8eaefb0b99,parsed,0
4 - Batdorff Douglas J. (0001814145) (Reporting),4,2026-06-25 20:31:44,0001814145-26-000002,0001814145,4 - Batdorff Douglas J. (0001814145) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1814145/000181414526000002,https://www.sec.gov/Archives/edgar/data/1814145/000181414526000002/0001814145-26-000002-index.htm,False,https://www.sec.gov/Archives/edgar/data/1814145/000181414526000002/wk-form4_1782419502.xml,364767f468406cf9a04e54022181e2b2d25fe5c8f7cc8c97ab701c2cae3b5b8d,parsed,0
4 - Gotcheva Lora A. (0002077183) (Reporting),4,2026-06-25 20:31:40,0002077183-26-000001,0002077183,4 - Gotcheva Lora A. (0002077183) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2077183/000207718326000001,https://www.sec.gov/Archives/edgar/data/2077183/000207718326000001/0002077183-26-000001-index.htm,False,https://www.sec.gov/Archives/edgar/data/2077183/000207718326000001/primary_doc.xml,c584ba9345af524c3525fa94dc8d0993fc53e4b37eab67b57c6b3ca1613778b3,parsed,0
4 - Dhanidina Halim (0001861094) (Reporting),4,2026-06-25 20:30:16,0001331875-26-000058,0001861094,4 - Dhanidina Halim (0001861094) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1861094/000133187526000058,https://www.sec.gov/Archives/edgar/data/1861094/000133187526000058/0001331875-26-000058-index.htm,False,https://www.sec.gov/Archives/edgar/data/1861094/000133187526000058/form4.xml,5670099aa33972031710f764e1ed8421b0927c33d8660c3c8c63cc7cc8e676be,parsed,0
4 - Gardner Donald T. III (0001775052) (Reporting),4,2026-06-25 20:30:12,0001775052-26-000004,0001775052,4 - Gardner Donald T. III (0001775052) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1775052/000177505226000004,https://www.sec.gov/Archives/edgar/data/1775052/000177505226000004/0001775052-26-000004-index.htm,False,https://www.sec.gov/Archives/edgar/data/1775052/000177505226000004/wk-form4_1782419406.xml,8804b2f2df09e03c306713bb9adf6a3f19f3e3a877741821efb4590b224169e5,parsed,0
4 - Silverman Josh (0001525358) (Reporting),4,2026-06-25 20:30:11,0001525358-26-000019,0001525358,4 - Silverman Josh (0001525358) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1525358/000152535826000019,https://www.sec.gov/Archives/edgar/data/1525358/000152535826000019/0001525358-26-000019-index.htm,False,https://www.sec.gov/Archives/edgar/data/1525358/000152535826000019/form4-06252026_040603.xml,9b62ee6070dca3fb926897f0c1b8a2f42691d12ad9712086b5d158d18c38f4ad,parsed,0
4 - Meserve Nicholas (0001563461) (Reporting),4,2026-06-25 20:30:09,0001563461-26-000004,0001563461,4 - Meserve Nicholas (0001563461) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1563461/000156346126000004,https://www.sec.gov/Archives/edgar/data/1563461/000156346126000004/0001563461-26-000004-index.htm,False,https://www.sec.gov/Archives/edgar/data/1563461/000156346126000004/form4-06252026_040601.xml,f7a39f9ce01024c97006803715bc58ecf9a2d27d3ef79129690cee96124ae327,parsed,1
4 - Flynn James P (0001955965) (Reporting),4,2026-06-25 20:30:07,0001193125-26-282864,0001955965,4 - Flynn James P (0001955965) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1955965/000119312526282864,https://www.sec.gov/Archives/edgar/data/1955965/000119312526282864/0001193125-26-282864-index.htm,False,https://www.sec.gov/Archives/edgar/data/1955965/000119312526282864/ownership.xml,a0e15fdc6557378771c06cb9f8161b16add95597f3e456dcff36342aeee9a045,parsed,1
