title,form_type,accepted_at,accession,cik,company_name,ticker,primary_document,archive_base_url,source_url,amendment_flag
4 - McBride Suzanne E. (0001767205) (Reporting),4,2026-08-19 22:25:33,0001123292-26-001142,0001767205,4 - McBride Suzanne E. (0001767205) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1767205/000112329226001142,https://www.sec.gov/Archives/edgar/data/1767205/000112329226001142/0001123292-26-001142-index.htm,False
4 - Aghili Aziz (0001524680) (Reporting),4,2026-08-19 22:25:30,0001628280-26-058070,0001524680,4 - Aghili Aziz (0001524680) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1524680/000162828026058070,https://www.sec.gov/Archives/edgar/data/1524680/000162828026058070/0001628280-26-058070-index.htm,False
4 - Williams Adrienne (0001876305) (Reporting),4,2026-08-19 22:25:23,0001628280-26-058069,0001876305,4 - Williams Adrienne (0001876305) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1876305/000162828026058069,https://www.sec.gov/Archives/edgar/data/1876305/000162828026058069/0001628280-26-058069-index.htm,False
4 - Farnsworth David E. (0001990150) (Reporting),4,2026-08-19 22:25:22,0001049521-26-000051,0001990150,4 - Farnsworth David E. (0001990150) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1990150/000104952126000051,https://www.sec.gov/Archives/edgar/data/1990150/000104952126000051/0001049521-26-000051-index.htm,False
4 - Morgan Kathleen A. (0001897799) (Reporting),4,2026-08-19 22:25:18,0001123292-26-001141,0001897799,4 - Morgan Kathleen A. (0001897799) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1897799/000112329226001141,https://www.sec.gov/Archives/edgar/data/1897799/000112329226001141/0001123292-26-001141-index.htm,False
4 - LAMACH MICHAEL W (0001279505) (Reporting),4,2026-08-19 22:25:17,0001628280-26-058068,0001279505,4 - LAMACH MICHAEL W (0001279505) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1279505/000162828026058068,https://www.sec.gov/Archives/edgar/data/1279505/000162828026058068/0001628280-26-058068-index.htm,False
4 - Beliveau-Dunn Jeanne (0001714894) (Reporting),4,2026-08-19 22:25:11,0001628280-26-058067,0001714894,4 - Beliveau-Dunn Jeanne (0001714894) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1714894/000162828026058067,https://www.sec.gov/Archives/edgar/data/1714894/000162828026058067/0001628280-26-058067-index.htm,False
4 - Chintapalli Appal (0001783588) (Reporting),4,2026-08-19 22:25:05,0001628280-26-058066,0001783588,4 - Chintapalli Appal (0001783588) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1783588/000162828026058066,https://www.sec.gov/Archives/edgar/data/1783588/000162828026058066/0001628280-26-058066-index.htm,False
4 - Olson Eric T (0001535177) (Reporting),4,2026-08-19 22:25:00,0001123292-26-001140,0001535177,4 - Olson Eric T (0001535177) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1535177/000112329226001140,https://www.sec.gov/Archives/edgar/data/1535177/000112329226001140/0001123292-26-001140-index.htm,False
4 - Oddo Thomas Patrick (0002143537) (Reporting),4,2026-08-19 22:24:59,0001628280-26-058065,0002143537,4 - Oddo Thomas Patrick (0002143537) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2143537/000162828026058065,https://www.sec.gov/Archives/edgar/data/2143537/000162828026058065/0001628280-26-058065-index.htm,False
4 - Linker John R (0001692728) (Reporting),4,2026-08-19 22:24:53,0001628280-26-058064,0001692728,4 - Linker John R (0001692728) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1692728/000162828026058064,https://www.sec.gov/Archives/edgar/data/1692728/000162828026058064/0001628280-26-058064-index.htm,False
4 - COLELLA GERALD G (0001256715) (Reporting),4,2026-08-19 22:24:47,0001628280-26-058063,0001256715,4 - COLELLA GERALD G (0001256715) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1256715/000162828026058063,https://www.sec.gov/Archives/edgar/data/1256715/000162828026058063/0001628280-26-058063-index.htm,False
4 - Abraham Chad R (0001538591) (Reporting),4,2026-08-19 22:24:39,0001628280-26-058062,0001538591,4 - Abraham Chad R (0001538591) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1538591/000162828026058062,https://www.sec.gov/Archives/edgar/data/1538591/000162828026058062/0001628280-26-058062-index.htm,False
4 - Iridium Communications Inc. (0001418819) (Issuer),4,2026-08-19 22:24:29,0001123292-26-001139,0001418819,4 - Iridium Communications Inc. (0001418819) (Issuer),,,https://www.sec.gov/Archives/edgar/data/1418819/000112329226001139,https://www.sec.gov/Archives/edgar/data/1418819/000112329226001139/0001123292-26-001139-index.htm,False
4 - Ballhaus William L (0001436044) (Reporting),4,2026-08-19 22:24:22,0001049521-26-000050,0001436044,4 - Ballhaus William L (0001436044) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1436044/000104952126000050,https://www.sec.gov/Archives/edgar/data/1436044/000104952126000050/0001049521-26-000050-index.htm,False
4 - Field Dylan (0002073586) (Reporting),4,2026-08-19 22:22:23,0002073586-26-000012,0002073586,4 - Field Dylan (0002073586) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2073586/000207358626000012,https://www.sec.gov/Archives/edgar/data/2073586/000207358626000012/0002073586-26-000012-index.htm,False
4 - Saggar Rajeev (0001935638) (Reporting),4,2026-08-19 22:21:25,0001104659-26-098862,0001935638,4 - Saggar Rajeev (0001935638) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1935638/000110465926098862,https://www.sec.gov/Archives/edgar/data/1935638/000110465926098862/0001104659-26-098862-index.htm,False
4 - BIGBEE PAUL (0001816200) (Reporting),4,2026-08-19 22:20:29,0001628280-26-058060,0001816200,4 - BIGBEE PAUL (0001816200) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1816200/000162828026058060,https://www.sec.gov/Archives/edgar/data/1816200/000162828026058060/0001628280-26-058060-index.htm,False
4 - Datta Sanjay (0001832808) (Reporting),4,2026-08-19 22:20:27,0001832808-26-000015,0001832808,4 - Datta Sanjay (0001832808) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1832808/000183280826000015,https://www.sec.gov/Archives/edgar/data/1832808/000183280826000015/0001832808-26-000015-index.htm,False
4 - Howe Jolanda (0001974200) (Reporting),4,2026-08-19 22:19:30,0001974200-26-000012,0001974200,4 - Howe Jolanda (0001974200) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1974200/000197420026000012,https://www.sec.gov/Archives/edgar/data/1974200/000197420026000012/0001974200-26-000012-index.htm,False
4 - Jones Neal (0002126236) (Reporting),4,2026-08-19 22:17:28,0001225208-26-007210,0002126236,4 - Jones Neal (0002126236) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2126236/000122520826007210,https://www.sec.gov/Archives/edgar/data/2126236/000122520826007210/0001225208-26-007210-index.htm,False
"4 - Upstart Holdings, Inc. (0001647639) (Issuer)",4,2026-08-19 22:14:48,0001558259-26-000017,0001647639,"4 - Upstart Holdings, Inc. (0001647639) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1647639/000155825926000017,https://www.sec.gov/Archives/edgar/data/1647639/000155825926000017/0001558259-26-000017-index.htm,False
4/A - KISSINGER THOMAS F (0001183315) (Reporting),4/A,2026-08-19 22:14:40,0000897069-26-001703,0001183315,4/A - KISSINGER THOMAS F (0001183315) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1183315/000089706926001703,https://www.sec.gov/Archives/edgar/data/1183315/000089706926001703/0000897069-26-001703-index.htm,True
